cvnou, -1
€, -1
69, 0
:, -1
intreg, -1
;, -1
cvnou, -1
€, -1
30, 1
:, -1
intreg, -1
;, -1
cvnou, -1
€, -1
39, 2
:, -1
intreg, -1
;, -1
citeste, -1
(, -1
€, -1
69, 0
), -1
;, -1
€, -1
30, 1
estiegal, -1
0, 0
;, -1
€, -1
39, 2
estiegal, -1
1, 1
;, -1
cattimp, -1
(, -1
€, -1
39, 2
maimicegal, -1
€, -1
69, 0
), -1
fa, -1
{, -1
€, -1
30, 1
estiegal, -1
€, -1
30, 1
adunate, -1
€, -1
39, 2
;, -1
€, -1
39, 2
estiegal, -1
€, -1
39, 2
adunate, -1
1, 1
;, -1
}, -1
scrie, -1
(, -1
50, 2
), -1
;, -1
scrie, -1
(, -1
€, -1
30, 1
), -1
;, -1
cvnou, -1
€, -1
87, 3
:, -1
sir, -1
(, -1
10, 3
), -1
de, -1
intreg, -1
;, -1
cvnou, -1
€, -1
34, 4
:, -1
intreg, -1
;, -1
cvnou, -1
€, -1
87, 5
:, -1
intreg, -1
;, -1
citeste, -1
(, -1
€, -1
87, 3
), -1
;, -1
€, -1
34, 4
estiegal, -1
99, 4
;, -1
€, -1
87, 5
estiegal, -1
99, 5
;, -1
€, -1
39, 2
estiegal, -1
0, 0
;, -1
cvnou, -1
€, -1
54, 6
:, -1
intreg, -1
;, -1
cattimp, -1
(, -1
€, -1
39, 2
maimic, -1
10, 3
), -1
fa, -1
{, -1
€, -1
54, 6
estiegal, -1
€, -1
87, 3
[, -1
€, -1
39, 2
], -1
;, -1
daca, -1
(, -1
€, -1
54, 6
maimare, -1
€, -1
34, 4
), -1
atunci, -1
{, -1
€, -1
34, 4
estiegal, -1
€, -1
54, 6
;, -1
}, -1
daca, -1
(, -1
€, -1
54, 6
maimic, -1
€, -1
87, 5
), -1
atunci, -1
{, -1
€, -1
87, 5
estiegal, -1
€, -1
54, 6
;, -1
}, -1
€, -1
39, 2
estiegal, -1
€, -1
39, 2
adunate, -1
1, 1
;, -1
}, -1
scrie, -1
(, -1
43, 6
), -1
;, -1
scrie, -1
(, -1
€, -1
34, 4
), -1
;, -1
scrie, -1
(, -1
55, 7
), -1
;, -1
scrie, -1
(, -1
€, -1
87, 5
), -1
;, -1
